# Step Strain Stress Density
1 1.000000e-06 1.521746e+04 3.204891e+12 
10 2.595868e-05 3.216068e+06 2.292105e+12 
20 9.601660e-05 1.246065e+07 2.287758e+12 
30 1.613643e-04 2.124641e+07 2.329021e+12 
40 2.278443e-04 3.037038e+07 2.393868e+12 
50 3.236843e-04 4.270803e+07 2.595126e+12 
60 4.236843e-04 5.405779e+07 3.048753e+12 
70 4.915243e-04 4.474774e+07 4.322457e+12 
80 5.511920e-04 3.349427e+07 4.063871e+12 
90 6.238720e-04 2.589732e+07 4.933184e+12 
100 6.785397e-04 2.855386e+07 4.843784e+12 
110 7.373050e-04 2.686552e+07 4.807234e+12 
120 7.861477e-04 1.828880e+07 4.799947e+12 
130 8.505946e-04 2.655908e+07 4.856297e+12 
140 9.142746e-04 3.291209e+07 5.071775e+12 
150 9.879546e-04 4.145189e+07 5.274534e+12 
160 1.055795e-03 4.639567e+07 5.526795e+12 
170 1.137635e-03 5.367083e+07 6.015193e+12 
180 1.205075e-03 3.855912e+07 7.733066e+12 
190 1.240286e-03 3.052598e+07 7.243075e+12 
200 1.302363e-03 2.136058e+07 7.112790e+12 
210 1.363363e-03 2.430771e+07 7.275398e+12 
220 1.427043e-03 2.165024e+07 7.324021e+12 
230 1.490723e-03 2.277885e+07 7.728189e+12 
