eps=0: atoms=500 lines=2 frac=0.260 bulk_dis=0
exx= 0.25% sigma=-0.000167 lines=2 bulk_dis=0
exx= 0.50% sigma=-0.000056 lines=2 bulk_dis=0
exx= 0.75% sigma=+0.000055 lines=2 bulk_dis=0
exx= 1.00% sigma=+0.000165 lines=2 bulk_dis=0
exx= 1.26% sigma=+0.000273 lines=2 bulk_dis=0
exx= 1.51% sigma=+0.000380 lines=2 bulk_dis=0
exx= 1.76% sigma=+0.000484 lines=2 bulk_dis=0
exx= 2.02% sigma=+0.000586 lines=2 bulk_dis=0
exx= 2.27% sigma=+0.000686 lines=2 bulk_dis=0
exx= 2.53% sigma=+0.000784 lines=2 bulk_dis=0
exx= 2.78% sigma=+0.000880 lines=2 bulk_dis=0
exx= 3.04% sigma=+0.000974 lines=2 bulk_dis=0
exx= 3.30% sigma=+0.001065 lines=2 bulk_dis=0
exx= 3.56% sigma=+0.001154 lines=2 bulk_dis=0
exx= 3.82% sigma=+0.001240 lines=2 bulk_dis=0
exx= 4.08% sigma=+0.001324 lines=2 bulk_dis=0
exx= 4.34% sigma=+0.001406 lines=2 bulk_dis=0
exx= 4.60% sigma=+0.001486 lines=2 bulk_dis=0
exx= 4.86% sigma=+0.001563 lines=2 bulk_dis=0
exx= 5.12% sigma=+0.001638 lines=2 bulk_dis=0
exx= 5.38% sigma=+0.001710 lines=2 bulk_dis=0
exx= 5.65% sigma=+0.001780 lines=2 bulk_dis=0
exx= 5.91% sigma=+0.001848 lines=2 bulk_dis=0
exx= 6.18% sigma=+0.001913 lines=2 bulk_dis=0
exx= 6.44% sigma=+0.001975 lines=2 bulk_dis=0
exx= 6.71% sigma=+0.002034 lines=2 bulk_dis=0
exx= 6.97% sigma=+0.002090 lines=2 bulk_dis=0
exx= 7.24% sigma=+0.002142 lines=2 bulk_dis=0
exx= 7.51% sigma=+0.002191 lines=2 bulk_dis=0
exx= 7.78% sigma=+0.002236 lines=12 bulk_dis=0
exx= 8.05% sigma=+0.002276 lines=2 bulk_dis=0
exx= 8.32% sigma=+0.002313 lines=2 bulk_dis=0
done in 95s
