resumed at exx=10.50%
exx=10.78% sigma=+0.01474 cores=8
exx=11.06% sigma=+0.01477 cores=8
exx=11.33% sigma=+0.01478 cores=8
exx=11.61% sigma=+0.01479 cores=8
exx=11.89% sigma=+0.01479 cores=8
exx=12.17% sigma=+0.01478 cores=8
exx=12.45% sigma=+0.01475 cores=8
exx=12.73% sigma=+0.01472 cores=8
exx=13.01% sigma=+0.01471 cores=6
exx=13.30% sigma=+0.01469 cores=5
exx=13.58% sigma=+0.01462 cores=14
exx=13.86% sigma=+0.01447 cores=11
exx=14.15% sigma=+0.01438 cores=8
exx=14.43% sigma=+0.01428 cores=8
exx=14.72% sigma=+0.01417 cores=8
exx=15.01% sigma=+0.01400 cores=16
exx=15.29% sigma=+0.01369 cores=41
exx=15.58% sigma=+0.01293 cores=94
exx=15.87% sigma=+0.01219 cores=114
exx=16.16% sigma=+0.01134 cores=155
exx=16.45% sigma=+0.01045 cores=213
exx=16.74% sigma=+0.00929 cores=280
exx=17.04% sigma=+0.00835 cores=316
exx=17.33% sigma=+0.00794 cores=272
exx=17.62% sigma=+0.00778 cores=268
exx=17.92% sigma=+0.00772 cores=269
exx=18.21% sigma=+0.00761 cores=255
exx=18.51% sigma=+0.00748 cores=258
exx=18.80% sigma=+0.00739 cores=244
exx=19.10% sigma=+0.00729 cores=236
exx=19.40% sigma=+0.00726 cores=231
exx=19.69% sigma=+0.00721 cores=220
exx=19.99% sigma=+0.00721 cores=207
exx=20.29% sigma=+0.00723 cores=192
exx=20.59% sigma=+0.00727 cores=196
exx=20.90% sigma=+0.00730 cores=196
exx=21.20% sigma=+0.00732 cores=190
exx=21.50% sigma=+0.00732 cores=187
done in 1106s
